iter	Passed	Remaining
812	2517	579
813	2519	575
814	2523	572
815	2526	569
816	2528	566
817	2532	563
818	2534	560
819	2536	556
820	2539	553
821	2542	550
822	2544	547
823	2547	544
824	2550	540
825	2552	537
826	2555	534
827	2559	531
828	2562	528
829	2565	525
830	2568	522
831	2571	519
832	2574	516
833	2576	512
834	2578	509
835	2581	506
836	2583	503
837	2585	499
838	2588	496
839	2590	493
840	2593	490
841	2595	487
842	2598	483
843	2600	480
844	2602	477
845	2605	474
846	2607	471
847	2610	467
848	2612	464
849	2615	461
850	2617	458
851	2619	455
852	2622	451
853	2626	449
854	2629	445
855	2631	442
856	2633	439
857	2636	436
858	2638	433
859	2640	429
860	2643	426
861	2645	423
862	2647	420
863	2650	417
864	2652	413
865	2655	410
866	2657	407
867	2659	404
868	2662	401
869	2664	398
870	2666	394
871	2669	391
872	2671	388
873	2674	385
874	2676	382
875	2678	379
876	2681	376
877	2683	372
878	2685	369
879	2688	366
880	2690	363
881	2692	360
882	2695	357
883	2698	354
884	2700	350
885	2704	347
886	2707	344
887	2709	341
888	2713	338
889	2715	335
890	2718	332
891	2720	329
892	2723	326
893	2725	323
894	2728	320
895	2731	317
896	2733	313
897	2736	310
898	2739	307
899	2742	304
900	2744	301
901	2746	298
902	2748	295
903	2751	292
904	2753	289
905	2756	285
906	2758	282
907	2761	279
908	2765	276
909	2768	273
910	2771	270
911	2773	267
912	2775	264
913	2778	261
914	2780	258
915	2782	255
916	2784	252
917	2787	248
918	2789	245
919	2792	242
920	2794	239
921	2797	236
922	2799	233
923	2802	230
924	2805	227
925	2807	224
926	2810	221
927	2812	218
928	2814	215
929	2817	212
930	2819	208
931	2822	205
932	2824	202
933	2827	199
934	2829	196
935	2831	193
936	2833	190
937	2836	187
938	2838	184
939	2840	181
940	2843	178
941	2846	175
942	2849	172
943	2852	169
944	2854	166
945	2857	163
946	2860	160
947	2863	157
948	2865	154
949	2868	150
950	2871	147
951	2873	144
952	2876	141
953	2878	138
954	2880	135
955	2882	132
956	2885	129
957	2887	126
958	2889	123
959	2892	120
960	2894	117
961	2896	114
962	2898	111
963	2901	108
964	2903	105
965	2906	102
966	2908	99
967	2911	96
968	2913	93
969	2915	90
970	2918	87
971	2922	84
972	2925	81
973	2928	78
974	2931	75
975	2933	72
976	2937	69
977	2940	66
978	2943	63
979	2946	60
980	2950	57
981	2953	54
982	2956	51
983	2959	48
984	2962	45
985	2965	42
986	2969	39
987	2972	36
988	2975	33
989	2978	30
990	2981	27
991	2983	24
992	2986	21
993	2988	18
994	2991	15
995	2994	12
996	2996	9
997	2999	6
998	3001	3
999	3004	0
